Secteur principal,Secteur d'activité ,Secteur d'activité connexe,Sous-secteur,Catégorie de métier,Code NAF,Qualification,Expositions,Risques,Examens utiles
,,,,Installateur de magasin,,,,,
,,Edition - Imprimerie - Livre,,Libraire,,,,,
,,,,Loueur de bateaux,,,,,
,,,Automobile,Loueur de voiture,,,,,
,,,,Marchand ambulant,,,,,
,,,,Marchandiser,,,,,
,,,,Monteur-vendeur en optique lunetterie,,,,,
,,,,Représentant vendeur de véhicule,,,,,
,,,,Responsable affiliation et partenariats sur le web,,,,,
,,,,Responsable de magasin,,,,,
,,,,Responsable de plateforme téléphonique,,,,,
,,,,Skiman,,,,,
,,,,Téléconseiller,,,,,
,,,,Télévendeur,,,,,
,,,,Vendeur d'article de sport,,,,,
,,,,Vendeur de jouets,,,,,
,,,,Vendeur en animalerie,,,,,
,,,,Vendeur en magasin,,,,,
,,,,Vendeur en micro-informatique et multimédia,,,,,
,,,,Vendeur export,,,,,
,,,,Webmarketer,,,,,
,,,,Wedding planner,,,,,
,,,,Yield manager,,,,,
,,,Ingénierie,Ingénieur technico-commercial,,,,,
,Communication - Information,Commerce,,Acheteur d'espaces publicitaires,,,,,
,,Sciences,,Archiviste,,,,,
,,,,Assistant de communication,,,,,
,,,,Attaché de presse,,,,,
,,,,Chargé d'étude de marketing,,,,,
,,Banque - Finance - Assurance,,Chargé de communication financière,,,,,
,,,,Chargé de diffusion,,,,,
,,,,Chargé de mission patrimoine culturel,,,,,
,,,,Chargé de relations publiques,,,,,
,,,,Chargé d'habillage et d'autopromotion,,,,,
,,,,Chef de publicité,,,,,
,,,,Concepteur rédacteur,,,,,
,,Informatique - Numérique - Multimédia,,Creative technologist / Technologue créatif,,,,,
,,,,Dessinateur de presse,,,,,
,,,,Designer produit,,,,,
,,Culture - Art - Spectacle - Audiovisuel,,Directeur artistique,,,,,
,,,,Documentaliste,,,,,
,,,,Enquêteur,,,,,
,,,,Gestionnaire d'antenne,,,,,
,,,,Iconographe,,,,,
,,Education - Enseignement - Formation - Langues,,Interprète,,,,,
,,Culture - Art - Spectacle - Audiovisuel,,Journaliste,,,,,
,,Culture - Art - Spectacle - Audiovisuel,,Journaliste télé ou radio,,,,,
,,Culture - Art - Spectacle - Audiovisuel,,Journaliste d'entreprise,,,,,
,,Culture - Art - Spectacle - Audiovisuel,,Journaliste reporter d'images,,,,,
,,Sciences / Culture - Art - Sepctacle - Audiovisuel,,Journaliste scientfique,,,,,
,,Informatique - Numérique - Multimédia,,Maquettiste,,,,,
,,,,Média-planner,,,,,
,,Informatique - Numérique - Multimédia,,Opérateur en PAO,,,,,
,,,,Planneur stratégique,,,,,
,,,,Pigiste,,,,,
,,,,Rédacteur en chef,,,,,
,,,,Rédacteur technique,,,,,
,,,,Responsable de communication,,,,,
,,,,Responsable de la communication financière,,,,,
,,,,Responsable marketing,,,,,
,,,,Social media manager,,,,,
,,,,Standardiste,,,,,
,,,,Stéréotypiste de conférence,,,,,
,,Informatique - Numérique - Multimédia,,Technicien PAO,,,,,
,,Education - Enseignement - Formation - Langues,,Traducteur,,,,,
,,Informatique - Numérique - Multimédia,,Web designer,,,,,
,,Informatique - Numérique - Multimédia,,Web evangelist / Evangéliste web,,,,,
,Culture - Art - Spectacle - Audiovisuel,,Artistes,Auteur,,,,,
,,,Artistes,Agent artistique,,,,,
,,,Artistes,Artiste-peintre,,,,,
,,,Artistes,Cascadeur,,,,,
,,,Artistes,Chanteur,,,,,
,,,Artistes,Danseur,,,,,
,,,Artistes,Comédien,,,,,
,,,Artistes,Documentariste,,,,,
,,,Artistes,Mannequin,,,,,
,,,Artistes,Maquilleur artistique,,,,,
,,,Artistes,Marionnettiste,,,,,
,,,Artistes,Musicien ,,,,,
,,,Artistes,Musicien intervenant,,,,,
,,,Artistes,Photographe,,,,,
,,,Artistes,Scripte,,,,,
,,,Artistes,Story-boarder,,,,,
,,,,Scénariste,,,,,
,,,,Scénariste multimédia,,,,,
,,,,Scripte de jeux vidéos,,,,,
,,,,,,,,,
,,Communication - Information,,Journaliste,,,,,
,,Communication - Information,,Journaliste télé ou radio,,,,,
,,Communication - Information,,Journaliste d'entreprise,,,,,
