sector,activity_area,Secteur d'activité connexe,label,category,Qualification,Expositions,Risques,Examens utiles
,,Bâtiment - Travaux Publics - Industrie - Matériaux,,Installateur de panneaux solaires,,,,
,,Sciences,,Météorologue,,,,
,,Sciences,,Océanographe,,,,
,,,,Ouvrier de production sous serre,,,,
,,,,Paysagiste,,,,
,,Sciences,,Pédologue,,,,
,,,,Pépiniériste,,,,
,,,,Responsable de secteur dans un espace naturel,,,,
,,Sécurité - Défense,,"Responsable hygiène, sécurité, environnement",,,,
,,Sciences,Technicien,Technicien de la qualité de l'eau,,,,
,,,Technicien,Technicien de mesure de la pollution,,,,
,,Entretien - Nettoyage,Technicien,Technicien traitement déchets,,,,
,,,Technicien,Technicien de maintenance sur éolienne,,,,
,,,Technicien,Technicien eau et installation saniraires,,,,
,,,Technicien,Technicien forestier,,,,
,,,,,,,,
,,,,,,,,
,Hotellerie - Restauration - Café - Alimentaire,Tourisme - Sport - Loisirs - Animation,,Barman / Barmaid,,,,
,,,,Brasseur - malteur,,,,
,,,,Boulanger,,,,
,,,,Boucher,,,,
,,,,Caviste,,,,
,,,,Charcutier-traiteur,,,,
,,,,Commis de cuisine,,,,
,,,,Chocolatier - confiseur,,,,
,,,,Commerçant en alimentation,,,,
,,,,Cuisinier,,,,
,,,,Détaillant en fruits et légumes,,,,
,,,,Directeur d'hôtel,,,,
,,,,Directeur de restaurant,,,,
,,,,Employé de restaurant,,,,
,,,,Employé de libre service,,,,
,,,,Femme de chambre,,,,
,,,,Garçon de café / Serveur,,,,
,,,,Gérant d'hôtel,,,,
,,,,Gouvernant d'hôtel,,,,
,,,Technicien,Frigoriste,,,,
,,,,Fromager,,,,
,,,,Glacier,,,,
,,,,Hôte d'accueil,,,,
,,,,Hôtesse de l'air / Steward,,,,
,,,,Maître d'hôtel,,,,
,,,,Maître restaurateur,,,,
,,,,Pâtissier,,,,
,,,,Plongeur,,,,
,,,,Poissonnier,,,,
,,,,Pizzaiolo,,,,
,,,,Réceptionniste,,,,
,,,,Serveur de restaurant,,,,
,,,,Sommelier,,,,
,Humanitaire - Social - Service à la personne,Banque - Finance - Assurance,,Collecteur de fonds,,,,
,,,,Développeur humanitaire rural,,,,
,,,,Développeur humanitaire urbain,,,,
,,Santé - Médecine,,Logisticien humanitaire,,,,
,,Santé - Médecine,,Responsable de mission humanitaire,,,,
,,Santé - Médecine,,Sapeur-pompier,,,,
,,Santé - Médecine,,Technicien de l'intervention sociale et familiale,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Immobilier,,,Administrateur de biens,,,,
,,,,Agent de gestion locative,,,,
,,,,Agent immobilier,,,,
,,,,Diagnostiqueur immobilier,,,,
,,,,Expert immobilier,,,,
,,,,Gardien d'immeuble,,,,
,,,,Responsable de produits immobiliers,,,,
,,,,Syndic de copropriété,,,,
,Informatique,,,Administrateur de base de données,,,,
,,Culture - Art - Spectacle,,Animateur 3D,,,,
,,,,Automaticien ,,,,
,,Sciences,,Bio-informaticien,,,,
,,,,Bobinier,,,,
,,Commerce,,Chef de projet e-CRM,,,,
,,,,Consultant technique,,,,
,,,,Contrôleur en électricité et électronique,,,,
,,,,Correspondant en Informatique et Libertés,,,,
,,,,Data analyst / Data scientist,,,,
,,,,Dépanneur en électroménager,,,,
,,,,Développeur informatique,,,,
,,,,Développeur multimédia,,,,
,,,,Développeur web,,,,
,,Culture - Art - Spectacle,,Directeur artistique 3D,,,,
,,,,Electricien de maintenance,,,,
,,Automobile,,Electricien électronicien automobile,,,,
,,Sécurité - Défense,,Electricien de l'armée de l'air,,,,
,,,,Fabmanager,,,,
,,Education - Enseignement - Formation,,Formateur multimédia,,,,
